state_history,actions
"[[None, None], [None, None], [None, None], [40.0, -9.0]]","[1.999999994776935, 0.0]"
"[[None, None], [None, None], [40.0, -9.0], [39.0, -8.0]]","[1.999999988290361, 0.0]"
"[[None, None], [40.0, -9.0], [39.0, -8.0], [39.0, -8.0]]","[1.9999999999984754, 0.0]"
"[[40.0, -9.0], [39.0, -8.0], [39.0, -8.0], [39.0, -7.0]]","[1.9999999999975593, 0.0]"
"[[39.0, -8.0], [39.0, -8.0], [39.0, -7.0], [38.0, -7.0]]","[1.9999999999954419, 0.0]"
"[[39.0, -8.0], [39.0, -7.0], [38.0, -7.0], [38.0, -6.0]]","[1.9999999999923475, 0.0]"
"[[39.0, -7.0], [38.0, -7.0], [38.0, -6.0], [38.0, -6.0]]","[1.9999999999897717, 0.0]"
"[[38.0, -7.0], [38.0, -6.0], [38.0, -6.0], [37.0, -6.0]]","[1.9999999999892566, 0.0]"
"[[38.0, -6.0], [38.0, -6.0], [37.0, -6.0], [37.0, -6.0]]","[1.999999999990347, 0.0]"
"[[38.0, -6.0], [37.0, -6.0], [37.0, -6.0], [37.0, -6.0]]","[1.9999999999898188, 0.0]"
"[[37.0, -6.0], [37.0, -6.0], [37.0, -6.0], [36.0, -6.0]]","[1.9999999999142122, 0.0]"
"[[37.0, -6.0], [37.0, -6.0], [36.0, -6.0], [36.0, -6.0]]","[1.9999999999402136, 0.0]"
"[[37.0, -6.0], [36.0, -6.0], [36.0, -6.0], [36.0, -6.0]]","[1.9999999998884967, 0.0]"
"[[36.0, -6.0], [36.0, -6.0], [36.0, -6.0], [35.0, -7.0]]","[1.9999999999208922, 0.0]"
"[[36.0, -6.0], [36.0, -6.0], [35.0, -7.0], [35.0, -7.0]]","[1.9999999998880449, 0.0]"
"[[36.0, -6.0], [35.0, -7.0], [35.0, -7.0], [35.0, -8.0]]","[1.9999999998235143, 0.0]"
"[[35.0, -7.0], [35.0, -7.0], [35.0, -8.0], [34.0, -8.0]]","[1.9999999998322404, 0.0]"
"[[35.0, -7.0], [35.0, -8.0], [34.0, -8.0], [34.0, -9.0]]","[1.9999999997910138, 0.0]"
"[[35.0, -8.0], [34.0, -8.0], [34.0, -9.0], [34.0, -10.0]]","[1.9999999997726972, 0.0]"
"[[34.0, -8.0], [34.0, -9.0], [34.0, -10.0], [33.0, -10.0]]","[1.9999999996408155, 0.0]"
"[[34.0, -9.0], [34.0, -10.0], [33.0, -10.0], [33.0, -11.0]]","[1.999999996987302, 0.0]"
"[[34.0, -10.0], [33.0, -10.0], [33.0, -11.0], [33.0, -12.0]]","[1.99999999170538, 0.0]"
"[[33.0, -10.0], [33.0, -11.0], [33.0, -12.0], [32.0, -13.0]]","[1.9999999909431216, 0.0]"
"[[33.0, -11.0], [33.0, -12.0], [32.0, -13.0], [32.0, -14.0]]","[1.9999999858900757, 0.0]"
"[[33.0, -12.0], [32.0, -13.0], [32.0, -14.0], [32.0, -15.0]]","[1.9999999938153956, 0.0]"
"[[32.0, -13.0], [32.0, -14.0], [32.0, -15.0], [31.0, -15.0]]","[1.9999999352593567, 0.0]"
"[[32.0, -14.0], [32.0, -15.0], [31.0, -15.0], [31.0, -16.0]]","[1.9999999543229274, 0.0]"
"[[32.0, -15.0], [31.0, -15.0], [31.0, -16.0], [31.0, -17.0]]","[1.9999999090867742, 0.0]"
"[[31.0, -15.0], [31.0, -16.0], [31.0, -17.0], [30.0, -18.0]]","[1.9999999801315984, 0.0]"
"[[31.0, -16.0], [31.0, -17.0], [30.0, -18.0], [30.0, -19.0]]","[1.9999999427178796, 0.0]"
"[[31.0, -17.0], [30.0, -18.0], [30.0, -19.0], [30.0, -20.0]]","[-23.526999999999997, 1.9999999980310283]"
"[[30.0, -18.0], [30.0, -19.0], [30.0, -20.0], [29.0, -20.0]]","[-91.0, -70.0]"
"[[30.0, -19.0], [30.0, -20.0], [29.0, -20.0], [29.0, -20.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [40.0, -6.0]]","[1.999999980889351, 0.0]"
"[[None, None], [None, None], [40.0, -6.0], [39.0, -6.0]]","[1.9999999994256332, 0.0]"
"[[None, None], [40.0, -6.0], [39.0, -6.0], [39.0, -5.0]]","[1.9999999992162438, 0.0]"
"[[40.0, -6.0], [39.0, -6.0], [39.0, -5.0], [39.0, -5.0]]","[1.9999999984510657, 0.0]"
"[[39.0, -6.0], [39.0, -5.0], [39.0, -5.0], [38.0, -4.0]]","[1.999999998856891, 0.0]"
"[[39.0, -5.0], [39.0, -5.0], [38.0, -4.0], [38.0, -4.0]]","[1.999999995248172, 0.0]"
"[[39.0, -5.0], [38.0, -4.0], [38.0, -4.0], [38.0, -4.0]]","[1.9999999927715137, 0.0]"
"[[38.0, -4.0], [38.0, -4.0], [38.0, -4.0], [37.0, -4.0]]","[1.9999999967777817, 0.0]"
"[[38.0, -4.0], [38.0, -4.0], [37.0, -4.0], [37.0, -3.0]]","[1.9999999237128705, 0.0]"
